Date,Close
5/2/2018,13.45
5/3/2018,12.83
5/4/2018,13
5/7/2018,12.89
5/8/2018,12.79
5/9/2018,12.93
5/10/2018,13.03
5/11/2018,12.71
5/14/2018,13.26
5/15/2018,13.51
5/16/2018,13.55
5/17/2018,13.62
5/18/2018,12.46
5/21/2018,12.78
5/22/2018,12.67
5/23/2018,12.72
5/24/2018,12.74
5/25/2018,12.67
5/29/2018,13.05
5/30/2018,13.42
5/31/2018,13.2
6/1/2018,13.72
6/4/2018,14.24
6/5/2018,14.6
6/6/2018,14.42
6/7/2018,14.49
6/8/2018,14.53
6/11/2018,14.29
6/12/2018,14.05
6/13/2018,13.33
6/14/2018,12.85
6/15/2018,13.96
6/18/2018,15.2
6/19/2018,15.75
6/20/2018,15.71
6/21/2018,15.53
6/22/2018,15.52
6/25/2018,15.11
6/26/2018,14.97
6/27/2018,14.6
6/28/2018,14.88
6/29/2018,14.57
7/2/2018,14.16
7/3/2018,14.05
7/5/2018,14.63
7/6/2018,15.15
7/9/2018,15.47
7/10/2018,14.86
7/11/2018,14.7
7/12/2018,15.09
7/13/2018,15.28
7/16/2018,15.22
7/17/2018,14.58
7/18/2018,14.58
7/19/2018,14.92
7/20/2018,15.08
7/23/2018,14.89
7/24/2018,14.78
7/25/2018,14.51
7/26/2018,14.81
7/27/2018,14.83
7/30/2018,14.7
7/31/2018,14.41
8/1/2018,14.73
8/2/2018,14.62
8/3/2018,14.85
8/6/2018,14.86
8/7/2018,15.12
8/8/2018,15.25
8/9/2018,15.21
8/10/2018,15.32
8/13/2018,15.21
8/14/2018,15.5
8/15/2018,15.42
8/16/2018,15.22
8/17/2018,15.33
8/20/2018,15.85
8/21/2018,16.49
8/22/2018,16.98
8/23/2018,16.76
8/24/2018,16.55
8/27/2018,14.71
8/28/2018,14.03
8/29/2018,14.12
8/30/2018,13.58
8/31/2018,13.27
9/4/2018,14.05
9/5/2018,16.26
9/6/2018,16.14
9/7/2018,16.13
9/10/2018,16
9/11/2018,16.16
9/12/2018,16.66
9/13/2018,17.04
9/14/2018,16.79
9/17/2018,16.61
9/18/2018,16.5
9/19/2018,16.6
9/20/2018,16.49
9/21/2018,16.52
9/24/2018,15.52
9/25/2018,16.02
9/26/2018,15.59
9/27/2018,15.55
9/28/2018,15.27
10/1/2018,15.28
10/2/2018,14.87
10/3/2018,14.92
10/4/2018,14.82
10/5/2018,14.68
10/8/2018,14.98
10/9/2018,14.76
10/10/2018,14.83
10/11/2018,14.66
10/12/2018,14.8
10/15/2018,14.88
10/16/2018,15.29
10/17/2018,15.32
10/18/2018,15.06
10/19/2018,14.73
10/22/2018,15.12
10/23/2018,15.27
10/24/2018,15.07
10/25/2018,14.44
10/26/2018,13.71
10/29/2018,14.53
10/30/2018,14.67
10/31/2018,14.6
11/1/2018,15.35
11/2/2018,15.61
11/5/2018,14.99
11/6/2018,14.95
11/7/2018,14.9
11/8/2018,14.86
11/9/2018,14.64
11/12/2018,13.88
11/13/2018,13.88
11/14/2018,12.96
11/15/2018,13.13
11/16/2018,12.79
11/19/2018,13.03
11/20/2018,12.28
11/21/2018,13.71
11/23/2018,13.5
11/26/2018,14.58
11/27/2018,14.72
11/28/2018,15.01
11/29/2018,14.63
11/30/2018,13.66
12/3/2018,13.87
12/4/2018,13.5
12/6/2018,13.56
12/7/2018,13.68
12/10/2018,13.23
12/11/2018,12.95
12/12/2018,13.23
12/13/2018,12.79
12/14/2018,12.76
12/17/2018,12.65
12/18/2018,12.73
12/19/2018,12.58
12/20/2018,12.43
12/21/2018,11.96
12/24/2018,11.67
12/26/2018,12.4
12/27/2018,12.18
12/28/2018,12.28
12/31/2018,12.62
1/2/2019,13.07
1/3/2019,12.97
1/4/2019,15.24
1/7/2019,15.48
1/8/2019,15.81
1/9/2019,15.98
1/10/2019,15.96
1/11/2019,15.85
1/14/2019,15.64
1/15/2019,15.53
1/16/2019,15.68
1/17/2019,15.77
1/18/2019,15.93
1/22/2019,15.27
1/23/2019,15.48
1/24/2019,15.8
1/25/2019,15.9
1/28/2019,15.5
1/29/2019,11.28
1/30/2019,11.2
1/31/2019,11.34
2/1/2019,11.24
2/4/2019,11.37
2/5/2019,11.79
2/6/2019,11.51
2/7/2019,11.47
2/8/2019,11.35
2/11/2019,11.3
2/12/2019,11.55
2/13/2019,11.47
2/14/2019,11.33
2/15/2019,11.43
2/19/2019,11.2
2/20/2019,11.2
2/21/2019,11.03
2/22/2019,11.37
2/25/2019,11.55
2/26/2019,11.64
2/27/2019,11.67
2/28/2019,11.7
3/1/2019,11.75
3/4/2019,11.57
3/5/2019,11.6
3/6/2019,11.56
3/7/2019,11.59
3/8/2019,10.97
3/11/2019,11.26
3/12/2019,11.47
3/13/2019,11.58
3/14/2019,10.95
3/15/2019,11.06
3/18/2019,11.07
3/19/2019,10.96
3/20/2019,10.5
3/21/2019,10.55
3/22/2019,10.45
3/25/2019,10.14
3/26/2019,10.35
3/27/2019,10.29
3/28/2019,10.19
3/29/2019,10.16
4/1/2019,10.37
4/2/2019,10.1
4/3/2019,9.63
4/4/2019,10.03
4/5/2019,9.86
4/8/2019,9.94
4/9/2019,9.82
4/10/2019,9.97
4/11/2019,9.76
4/12/2019,9.32
4/15/2019,8.94
4/16/2019,9.08
4/17/2019,8.94
4/18/2019,8.77
4/22/2019,8.65
4/23/2019,8.89
4/24/2019,9.01
4/25/2019,8.95
4/26/2019,8.89
4/29/2019,8.76
4/30/2019,8.65
5/1/2019,8.51
